Data;Precip_Tot;Temp_Max;Temp_Med;Temp_Min;Umid_Relat
A744;2021-01-01;0;22.7;0;20.2;0
A744;2021-01-02;0;19.9;0;19.5;0
A744;2021-01-03;0;21;0;0;0
A744;2021-01-04;0;28.9;0;20.2;0
A744;2021-01-05;0;29.1;23.241667;18.3;74.041667
A744;2021-01-06;0;30.2;24.379167;20.4;71.875
A744;2021-01-07;25;30.2;23.483333;19.4;79.416667
A744;2021-01-08;17.2;28;22.470833;19.2;81
A744;2021-01-09;.2;29.9;22.975;20.7;83.708333
A744;2021-01-10;2;29.2;22.995833;20;83.541667
A744;2021-01-11;45.4;28.3;23;19.1;86.083333
A744;2021-01-12;33.8;28.5;22.620833;20;88.666667
A744;2021-01-13;40.2;30;22.508333;20.3;88.708333
A744;2021-01-14;22.6;28.1;22.325;20;84.291667
A744;2021-01-15;2.2;26.4;21.5875;19.4;81.583333
A744;2021-01-16;4.6;27.5;21.770833;18.6;83.083333
A744;2021-01-17;3.4;28.3;23.8875;20.9;71.083333
A744;2021-01-18;.8;30.4;24.3375;20.3;75.041667
A744;2021-01-19;0;31.2;24.045833;21;78.458333
A744;2021-01-20;7.6;31.1;24.291667;19.3;72.375
A744;2021-01-21;0;31.2;23.554167;18.9;72.916667
A744;2021-01-22;0;30.6;23.765217;19.3;71.217391
A744;2021-01-23;0;29.9;23.2625;20;72
A744;2021-01-24;0;29.4;23.308333;19.6;71.666667
A744;2021-01-25;0;30.9;24.183333;19.8;66.875
A744;2021-01-26;.8;30.7;23.479167;19.4;72.125
A744;2021-01-27;.2;31;25.045833;19.6;63.958333
A744;2021-01-28;0;31.5;25.1625;20.4;66.125
A744;2021-01-29;0;31.2;25.004167;19.2;62.833333
A744;2021-01-30;0;33;26.008333;18.6;56.25
A744;2021-01-31;0;33;25.995833;20.2;62.166667
A744;2021-02-01;0;31;23.666667;19.6;69.875
A744;2021-02-02;0;31.8;23.5625;20.5;73.041667
A744;2021-02-03;14.8;31.8;24.229167;18.6;72.083333
A744;2021-02-04;0;31.6;25.254167;21.2;71.166667
A744;2021-02-05;4.2;26.3;22.9;21.2;83.833333
A744;2021-02-06;20.6;29.4;21.495833;18.7;79.291667
A744;2021-02-07;.2;27.5;20.416667;16;73
A744;2021-02-08;0;26.9;20.429167;16.2;71.583333
A744;2021-02-09;0;27.1;20.725;16.6;73.5
A744;2021-02-10;0;28.5;20.579167;17.1;78.25
A744;2021-02-11;6.2;26.4;19.9;17;84.958333
A744;2021-02-12;12.6;25.7;20.883333;17.6;83.041667
A744;2021-02-13;36.4;24.4;20.0125;18.6;92.5
A744;2021-02-14;12.4;28.5;21.854167;17.1;79.25
A744;2021-02-15;0;28.8;22.9625;18.6;72.625
A744;2021-02-16;0;29.1;23.0625;18.2;73.291667
A744;2021-02-17;0;30;21.995833;19.1;77.25
A744;2021-02-18;1.8;29.7;23.333333;18.3;70.958333
A744;2021-02-19;4.2;30.8;23.341667;18.1;72.208333
A744;2021-02-20;0;31;23.295833;18.2;72.958333
A744;2021-02-21;0;30;22.570833;18.9;77.5
A744;2021-02-22;18.2;30.1;23.195833;18.8;74.333333
A744;2021-02-23;.2;31.3;23.9875;17.9;61.875
A744;2021-02-24;0;32.2;23.516667;18.5;62.708333
A744;2021-02-25;1.6;26.2;21.504167;19;80.791667
A744;2021-02-26;.6;24.1;19.541667;17.4;88.666667
A744;2021-02-27;6.8;26.3;20.7875;18;79.916667
A744;2021-02-28;14.4;27.5;21.675;18.3;78.416667
A744;2021-03-01;0;28.7;22.441667;18.7;79.291667
A744;2021-03-02;9.4;29;23.3;18.2;69.916667
A744;2021-03-03;.2;29.6;24.091667;20.6;64
A744;2021-03-04;0;29.6;22.795833;18.2;73.75
A744;2021-03-05;20.2;25.4;20.6375;17.3;85.541667
A744;2021-03-06;15.4;25.6;20.6875;19.1;89.166667
